project_cnt,success_usd_pledged_real,success_usd_goal_real,success_cnt,year_launched,main_category_group,state,country,usd_pledged_real,usd_goal_real
4,37018.76,34711.13,4,2017,"Film, Video & Journalism",successful,CH,37018.76,34711.13
30,0,0,0,2015,"Dance, Music & Theater",failed,DK,4010.47,132900.15
110,4740253.45,1479723.89,110,2017,Games & Technology,successful,FR,4740253.45,1479723.89
174,0,0,0,2010,Design,failed,US,54210.33,700677
32,0,0,0,2013,Comics & Publishing,failed,AU,14379.09,274796.03
695,13939817.03,4986573,695,2017,Fashion,successful,US,13939817.03,4986573
4,0,0,0,2017,Fashion,failed,JP,2630.48,46244.23
21,0,0,0,2016,Comics & Publishing,failed,IE,3110.71,125418.64
8,83651.92,78189.49,8,2016,"Film, Video & Journalism",successful,AT,83651.92,78189.49
665,21606118.37,6737809.88,665,2014,Games & Technology,successful,GB,21606118.37,6737809.88
14,0,0,0,2017,Comics & Publishing,failed,CH,7344.92,191077.06
544,1674095.45,1251007.58,544,2016,"Arts, Crafts & Phography",successful,GB,1674095.45,1251007.58
418,2195696.51,1736118.3,418,2017,"Dance, Music & Theater",successful,GB,2195696.51,1736118.3
86,0,0,0,2017,Fashion,failed,AU,96664.05,1043022.35
124,0,0,0,2015,Food,failed,DE,8770.33,4704760.86
114,572137.24,467006.16,114,2012,"Film, Video & Journalism",successful,GB,572137.24,467006.16
25,0,0,0,2017,"Arts, Crafts & Phography",failed,SE,8894.58,553593.13
18,377674.85,80914.22,18,2015,Design,successful,NZ,377674.85,80914.22
240,0,0,0,2015,Food,failed,AU,64186.05,6746874.55
88,0,0,0,2016,Fashion,failed,ES,102589.51,1008883.67
216,0,0,0,2009,"Arts, Crafts & Phography",failed,US,43651.36,461132.09
26,0,0,0,2016,Comics & Publishing,failed,AT,19531.84,179288.39
4511,25742289.96,14283525,4511,2015,Comics & Publishing,successful,US,25742289.96,14283525
1339,0,0,0,2015,"Arts, Crafts & Phography",failed,GB,426866.03,9452735.25
42,0,0,0,2014,Fashion,failed,NZ,17212.26,132872.27
52,0,0,0,2015,"Film, Video & Journalism",failed,DK,6197.13,143007.42
59,0,0,0,2017,Fashion,failed,DE,98164.97,1182367.09
20,221675.21,144171.7,20,2015,Design,successful,ES,221675.21,144171.7
26,0,0,0,2015,"Film, Video & Journalism",failed,BE,2561.23,1110677.9
68,1210748.6,764589.46,68,2014,Games & Technology,successful,NL,1210748.6,764589.46
467,2144772.22,1416274.38,467,2013,Comics & Publishing,successful,GB,2144772.22,1416274.38
464,6873857.85,2771412.93,464,2015,Design,successful,GB,6873857.85,2771412.93
25,89253.45,64526.73,25,2016,"Arts, Crafts & Phography",successful,NL,89253.45,64526.73
17,91757.4,83635.29,17,2017,"Dance, Music & Theater",successful,NL,91757.4,83635.29
62,1470706.92,456386.8,62,2015,Design,successful,DE,1470706.92,456386.8
49,0,0,0,2017,Games & Technology,failed,CH,163837.1,4197934.84
20,0,0,0,2015,"Dance, Music & Theater",failed,BE,2895.83,69727.57
56,0,0,0,2016,Games & Technology,failed,IE,141472.63,802432.05
24,116651.23,92997.84,24,2015,"Film, Video & Journalism",successful,IT,116651.23,92997.84
45,141363.59,108120.43,45,2017,"Arts, Crafts & Phography",successful,MX,141363.59,108120.43
16,322239.43,173443.98,16,2015,Games & Technology,successful,CH,322239.43,173443.98
19,79351.09,73348.95,19,2016,"Dance, Music & Theater",successful,MX,79351.09,73348.95
226,0,0,0,2016,Fashion,failed,CA,94064.84,1199031.98
382,0,0,0,2016,Food,failed,GB,153841.48,8930300.63
92,0,0,0,2016,Games & Technology,failed,AT,86513.3,5872172.8
20,37563.09,28931.43,20,2015,"Arts, Crafts & Phography",successful,NZ,37563.09,28931.43
329,0,0,0,2017,"Film, Video & Journalism",failed,GB,280680.18,16800570.12
19,178232.15,147186.82,19,2016,"Film, Video & Journalism",successful,NL,178232.15,147186.82
32,0,0,0,2015,Food,failed,AT,8367.15,492584.66
15,0,0,0,2017,"Arts, Crafts & Phography",failed,DK,4844.52,226033.13
366,0,0,0,2014,Design,failed,CA,408381.77,30329907.07
22,0,0,0,2016,Comics & Publishing,failed,MX,3240.96,157105.89
4,0,0,0,2016,Food,failed,LU,107.36,548017.32
40,0,0,0,2016,"Dance, Music & Theater",failed,NL,6707.17,2077417.06
14,0,0,0,2013,Comics & Publishing,failed,NZ,15110.84,55362.84
28,0,0,0,2014,Games & Technology,failed,IE,5761.84,356502.97
32,1273834.68,448290.46,32,2013,Games & Technology,successful,AU,1273834.68,448290.46
653,0,0,0,2015,"Arts, Crafts & Phography",failed,CA,105394.32,83835159.34
90,0,0,0,2017,"Arts, Crafts & Phography",failed,DE,67454.96,1292525.57
35,0,0,0,2016,Games & Technology,failed,HK,43839.71,752977.92
8,13543.99,11500,8,2009,Fashion,successful,US,13543.99,11500
58,309475.5,253924.15,58,2015,"Arts, Crafts & Phography",successful,FR,309475.5,253924.15
220,0,0,0,2017,Games & Technology,failed,AU,444399.57,15323309.91
193,0,0,0,2017,Games & Technology,failed,IT,293866,9743462.69
26,0,0,0,2015,Design,failed,CH,72455.56,576737.09
14,47434.91,40590.35,14,2015,"Arts, Crafts & Phography",successful,IT,47434.91,40590.35
109,0,0,0,2015,Design,failed,NL,200005.3,3671369.9
11,0,0,0,2017,Fashion,failed,BE,9439.09,295013.57
60,0,0,0,2016,"Film, Video & Journalism",failed,NL,13379.94,3423884.08
14,218481.26,114571.58,14,2016,Fashion,successful,SE,218481.26,114571.58
203,0,0,0,2017,"Dance, Music & Theater",failed,GB,160709.56,3021060.63
16,129804.35,114765.75,16,2015,Fashion,successful,DK,129804.35,114765.75
56,90221.3,80167.63,56,2015,"Film, Video & Journalism",successful,NZ,90221.3,80167.63
20,0,0,0,2015,Food,failed,BE,2051.53,2821593.39
114,0,0,0,2015,"Dance, Music & Theater",failed,SE,9997.35,482929.19
102,395490.33,360791.12,102,2017,"Film, Video & Journalism",successful,MX,395490.33,360791.12
2,9265.06,6767.43,2,2016,Design,successful,LU,9265.06,6767.43
25,316443.76,254392.87,25,2017,"Film, Video & Journalism",successful,DE,316443.76,254392.87
2,0,0,0,2017,Comics & Publishing,failed,LU,788,4238.42
460,0,0,0,2015,Games & Technology,failed,NL,367802.32,13382142.49
67,0,0,0,2016,Food,failed,FR,19534.6,2310430.07
12,43365,37133.56,12,2013,"Film, Video & Journalism",successful,NZ,43365,37133.56
146,1045268.72,590290.4,146,2013,Fashion,successful,GB,1045268.72,590290.4
5897,0,0,0,2013,"Dance, Music & Theater",failed,US,3262515.46,52581094
27,0,0,0,2016,Fashion,failed,NZ,15955.56,233070.62
23,0,0,0,2017,Fashion,failed,SE,17626.53,1029717.11
54,0,0,0,2016,"Arts, Crafts & Phography",failed,NZ,4886.16,211990.43
259,3793049.27,1809977.29,259,2015,Games & Technology,successful,AU,3793049.27,1809977.29
32,362663.88,207010.3,32,2015,Design,successful,SE,362663.88,207010.3
10,0,0,0,2014,Comics & Publishing,failed,DK,1443.05,36532.13
26,494626.94,194398.06,26,2016,Design,successful,DK,494626.94,194398.06
8247,0,0,0,2013,"Film, Video & Journalism",failed,US,9664179.87,289225565
52,0,0,0,2015,Food,failed,SE,4372.64,789295.31
1,5300.09,5123.21,1,2017,"Film, Video & Journalism",successful,HK,5300.09,5123.21
12,26843.34,23980.52,12,2015,"Dance, Music & Theater",successful,BE,26843.34,23980.52
12,60757.51,30302.82,12,2014,Games & Technology,successful,SE,60757.51,30302.82
2,86420.83,43065.41,2,2016,Games & Technology,successful,LU,86420.83,43065.41
3192,29252023.97,22704423,3192,2016,"Film, Video & Journalism",successful,US,29252023.97,22704423
15,132923.93,124802.21,15,2017,"Dance, Music & Theater",successful,SE,132923.93,124802.21
149,0,0,0,2016,Fashion,failed,IT,101814.2,3694354.65
34,174778.63,74697.31,34,2016,"Arts, Crafts & Phography",successful,SE,174778.63,74697.31
111,0,0,0,2016,Games & Technology,failed,SE,78910.5,4631146.6
286,1533557.1,675136.4,286,2015,"Arts, Crafts & Phography",successful,CA,1533557.1,675136.4
4429,11617764.68,8865941.12,4429,2012,"Arts, Crafts & Phography",successful,US,11617764.68,8865941.12
64,0,0,0,2015,Design,failed,DK,53037.08,690830.62
676,0,0,0,2011,Fashion,failed,US,207267.42,2598044.65
20,98092.62,68678.07,20,2015,Food,successful,SE,98092.62,68678.07
4,18658.17,10526.13,4,2016,Fashion,successful,HK,18658.17,10526.13
4,19173.74,18396.2,4,2016,Food,successful,DK,19173.74,18396.2
4,9072.86,8618.57,4,2015,Comics & Publishing,successful,AT,9072.86,8618.57
2,86589.77,27675.07,2,2016,Food,successful,BE,86589.77,27675.07
112,0,0,0,2015,"Film, Video & Journalism",failed,FR,76867.18,2609897.73
125,2270327.51,1043121.58,125,2016,Games & Technology,successful,ES,2270327.51,1043121.58
18,75970.87,70842.12,18,2016,"Dance, Music & Theater",successful,IE,75970.87,70842.12
9,33276.95,21472.8,9,2017,"Arts, Crafts & Phography",successful,IE,33276.95,21472.8
1488,43160215.33,13394519.5,1488,2012,Design,successful,US,43160215.33,13394519.5
138,1672274.99,338444,138,2010,Design,successful,US,1672274.99,338444
2,1984.01,1168.54,2,2014,"Arts, Crafts & Phography",successful,DK,1984.01,1168.54
8390,0,0,0,2016,Games & Technology,failed,US,8544587.13,472083588
7,135916.66,90894.37,7,2017,Food,successful,AU,135916.66,90894.37
90,0,0,0,2015,Games & Technology,failed,CH,112091.79,2439583.3
86,0,0,0,2013,"Arts, Crafts & Phography",failed,CA,36373.97,779388
10,0,0,0,2017,"Dance, Music & Theater",failed,BE,3159.84,68174.1
23,381123.49,178781.2,23,2016,Games & Technology,successful,DK,381123.49,178781.2
46,201999.29,173076.23,46,2015,"Dance, Music & Theater",successful,DE,201999.29,173076.23
23,646985.66,395687.5,23,2016,Design,successful,BE,646985.66,395687.5
235,0,0,0,2017,Design,failed,GB,583654.69,6515609.73
1,0,0,0,2017,"Arts, Crafts & Phography",failed,JP,1576.32,6130.13
54,0,0,0,2015,Comics & Publishing,failed,NZ,28897.2,268098.56
239,788757.88,700914.8,239,2010,Food,successful,US,788757.88,700914.8
1359,9151467.82,7055761.22,1359,2012,Food,successful,US,9151467.82,7055761.22
86,3018921.58,700649.43,86,2017,Design,successful,AU,3018921.58,700649.43
75,0,0,0,2016,Games & Technology,failed,NO,59714.75,2524015.04
406,0,0,0,2015,Design,failed,CA,548093.44,5107421.75
11,44321.65,42869.21,11,2016,"Film, Video & Journalism",successful,IE,44321.65,42869.21
34,158063.83,119279.88,34,2014,Comics & Publishing,successful,NZ,158063.83,119279.88
44,0,0,0,2016,Fashion,failed,SE,18877.43,286413.52
8,61789.92,54348.9,8,2016,Comics & Publishing,successful,CH,61789.92,54348.9
47,0,0,0,2016,"Arts, Crafts & Phography",failed,BE,7964.45,141231.97
14,579543.38,163239.46,14,2017,Fashion,successful,IT,579543.38,163239.46
458,0,0,0,2014,"Dance, Music & Theater",failed,CA,72978.17,3879622.16
90,0,0,0,2016,Comics & Publishing,failed,IT,47168.35,609403.88
203,0,0,0,2016,Comics & Publishing,failed,AU,90811.7,1793953.92
76,0,0,0,2017,Fashion,failed,IT,65121.53,19906829.57
46,699053.75,349366.9,46,2015,"Film, Video & Journalism",successful,DE,699053.75,349366.9
8,0,0,0,2014,Fashion,failed,NO,36.79,31553.4
108,0,0,0,2015,Food,failed,IT,12472.94,5441768.6
239,553314.1,453439.2,239,2016,"Dance, Music & Theater",successful,CA,553314.1,453439.2
14,0,0,0,2017,Comics & Publishing,failed,HK,1920.77,79720.35
84,0,0,0,2015,Fashion,failed,FR,34747.8,925181.95
119,642303.99,306967.03,119,2017,"Arts, Crafts & Phography",successful,CA,642303.99,306967.03
26,47610.31,28014.01,26,2016,"Arts, Crafts & Phography",successful,BE,47610.31,28014.01
